Date,Open,High,Low,Close,Adj Close,Volume
31/12/14,977.5,989.474976,975,986.275024,899.911255,3484404
1/1/15,984.474976,991,978.450012,987.200012,900.75531,1001382
2/1/15,986,1009.530029,986,1006.599976,918.456482,3389160
5/1/15,1004.950012,1015,988.75,997.950012,910.564026,4968512
6/1/15,990,992.5,967.049988,977.099976,891.539734,4833658
7/1/15,982.5,987.375,975,981.775024,895.80542,3624958
8/1/15,992.799988,998.5,975,986.724976,900.321899,6782460
9/1/15,990.049988,1054.5,956.525024,1037.219971,946.395264,22431664
12/1/15,1046,1059.599976,1037.5,1057.969971,965.328247,6379444
13/1/15,1053.900024,1053.900024,1037.5,1044.449951,952.992065,4400618
14/1/15,1049.25,1066.5,1046.300049,1064.319946,971.122314,4960630
15/1/15,1067.599976,1076.400024,1056.119995,1067.119995,973.677063,4171226
16/1/15,1074,1080,1056,1059.150024,966.40509,3345480
19/1/15,1060,1066.180054,1047.300049,1051.25,959.196777,2043872
20/1/15,1053.5,1066.5,1050.719971,1062.099976,969.096741,3402252
21/1/15,1065.75,1087.969971,1059,1084.949951,989.945679,4247454
22/1/15,1087.400024,1101.5,1080.650024,1098.219971,1002.053772,4979198
23/1/15,1100,1112.5,1082.550049,1107.530029,1010.548645,4743164
27/1/15,1107.530029,1110.5,1065.050049,1068.25,974.708191,6869984
28/1/15,1075,1077.400024,1065.150024,1072.280029,978.385376,6567178
29/1/15,1072.5,1074.949951,1063.800049,1072.75,978.814087,7684712
30/1/15,1080.75,1081.280029,1063.469971,1070.949951,977.171692,5416872
2/2/15,1070.75,1076,1063.030029,1068.430054,974.872375,4351270
3/2/15,1068.430054,1069.969971,1051,1060.449951,967.591125,2632978
4/2/15,1069.949951,1075,1063.199951,1071.430054,977.609619,2580008
5/2/15,1075.400024,1110,1074,1096.900024,1000.849426,5937968
6/2/15,1102.5,1123.900024,1094.25,1115.25,1017.592529,3726864
9/2/15,1100,1127,1100,1124.449951,1025.986938,3268434
10/2/15,1121.5,1149,1120.5,1139.150024,1039.39978,4258460
11/2/15,1140.25,1146.599976,1128.119995,1142.430054,1042.392578,2898486
12/2/15,1141.5,1160.969971,1136.5,1155.599976,1054.409302,3143768
13/2/15,1149.800049,1163.349976,1143,1148.050049,1047.520386,2828758
16/2/15,1140.150024,1153.449951,1132.619995,1139.380005,1039.609619,3122138
18/2/15,1139.380005,1152.469971,1129.069946,1148.25,1047.702881,4306882
19/2/15,1147,1167,1146.030029,1162.349976,1060.568115,4836812
20/2/15,1164.25,1168,1138.449951,1141.550049,1041.589722,3485814
23/2/15,1150,1154.599976,1124.050049,1132.800049,1033.605713,2545244
24/2/15,1139.5,1147.969971,1128.800049,1136.400024,1036.890625,3218838
25/2/15,1144.449951,1167.400024,1140,1158.800049,1057.329102,3022486
26/2/15,1153.75,1154.5,1122.699951,1129.050049,1030.184082,3222888
27/2/15,1137.449951,1140.319946,1125.75,1132.880005,1033.678833,3900538
2/3/15,1151.5,1154.25,1139.030029,1145.849976,1045.513184,3520496
3/3/15,1145,1151.469971,1139.150024,1148.930054,1048.323364,2452776
4/3/15,1150,1156.949951,1125.949951,1137.319946,1037.729858,2187614
5/3/15,1133.530029,1149.380005,1116.680054,1123.800049,1025.393921,2842458
9/3/15,1123.800049,1129.5,1089.5,1095.030029,999.143127,3992360
10/3/15,1099.050049,1103.469971,1080.099976,1099,1002.765442,3164958
11/3/15,1097.050049,1120,1084.550049,1091.099976,995.55719,3390456
12/3/15,1089.5,1113.219971,1088.5,1109.150024,1012.026733,2844282
13/3/15,1112.5,1115,1096.199951,1110.199951,1012.98468,3089842
16/3/15,1105.280029,1141,1105.280029,1133.319946,1034.0802,3409316
17/3/15,1133.319946,1139.75,1108.619995,1120.25,1022.154541,2769656
18/3/15,1127.25,1131.430054,1111.280029,1114.75,1017.136169,2452782
19/3/15,1117.300049,1124.5,1111.380005,1115.219971,1017.565125,3445870
20/3/15,1120.5,1134.449951,1116.469971,1128.719971,1029.883057,3215448
23/3/15,1126.5,1137.5,1112.75,1116.719971,1018.933899,2539350
