Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Adj Close
2009-12-31,RELIANCE,EQ,1076.05,1084.0,1096.0,1081.35,1093.35,1090.55,1090.28,4009836,4.37185786105e+14,,2150984.0,0.5364,467.374054
2010-01-04,RELIANCE,EQ,1090.55,1091.1,1091.1,1021.85,1077.3,1075.5,1044.44,17520006,1.82986283229e+15,,14348117.0,0.819,460.924042
2010-01-05,RELIANCE,EQ,1075.5,1149.9,1149.9,1065.4,1068.7,1070.7,1078.03,4890040,5.2716341453e+14,,2861065.0,0.5851,458.866943
2010-01-06,RELIANCE,EQ,1070.7,1079.9,1094.5,1070.65,1087.0,1088.0,1084.64,5415538,5.8739282446e+14,,2539975.0,0.469,466.281158
2010-01-07,RELIANCE,EQ,1088.0,1088.0,1115.0,1078.0,1101.9,1106.05,1103.49,5988404,6.60811609535e+14,,2522438.0,0.4212,474.016846
2010-01-08,RELIANCE,EQ,1106.05,1108.0,1113.8,1096.0,1103.9,1103.15,1104.79,3453926,3.81585631145e+14,,1253746.0,0.363,472.774017
2010-01-11,RELIANCE,EQ,1103.15,1134.7,1149.7,1050.0,1083.5,1081.5,1059.88,43122135,4.57043420834e+15,,34958879.0,0.8107,463.495514
2010-01-12,RELIANCE,EQ,1081.5,1095.0,1137.3,1077.0,1079.1,1084.35,1092.17,7495359,8.18624036985e+14,,4085590.0,0.5451,464.716919
2010-01-13,RELIANCE,EQ,1084.35,1088.0,1092.0,1068.6,1088.0,1088.6,1085.06,3511078,3.8097367648e+14,,1497490.0,0.4265,466.5383
2010-01-14,RELIANCE,EQ,1088.6,1086.0,1124.8,1086.0,1121.05,1121.7,1113.84,5610718,6.24943408735e+14,,3016976.0,0.5377,480.723877
2010-01-15,RELIANCE,EQ,1121.7,1125.8,1138.9,1105.05,1107.9,1110.75,1120.0,4289733,4.80450308615e+14,,2557750.0,0.5962,476.031097
2010-01-18,RELIANCE,EQ,1110.75,1107.0,1116.45,1091.95,1099.0,1099.5,1105.59,3239525,3.58159551805e+14,,1519653.0,0.4691,471.209717
2010-01-19,RELIANCE,EQ,1099.5,1100.0,1106.05,1082.65,1085.9,1085.0,1095.62,2986363,3.2719189034e+14,,1520965.0,0.5093,464.995483
2010-01-20,RELIANCE,EQ,1085.0,1095.0,1097.1,1072.0,1076.4,1077.5,1084.31,4418747,4.7913070488e+14,,2726964.0,0.6171,461.781219
